language,task,tokens,lines,sloc,chars
C,Arithmetic-Integer,164,18,16,424
C,Arithmetic-geometric-mean,281,35,23,641
C,Array-concatenation,234,33,24,646
C,Arrays,132,7,6,411
C,Averages-Arithmetic-mean,153,25,21,382
C,Averages-Mode,484,60,39,1305
C,Averages-Pythagorean-means,189,24,19,520
C,Babbage-problem,179,26,15,690
C,Balanced-brackets,232,44,38,654
C,Binary-search,409,53,49,1055
C,Bitwise-operations,60,6,5,171
C,Bulls-and-cows,610,86,76,1886
C,CSV-data-manipulation,1722,276,188,5838
C,Caesar-cipher,304,53,36,1125
C,Case-sensitivity-of-identifiers,69,12,9,228
C,Catalan-numbers,295,47,36,711
C,Check-that-file-exists,214,29,23,720
C,Classes,132,32,26,426
C,Comma-quibbling,311,54,46,1113
C,Count-occurrences-of-a-substring,159,23,18,565
C,Create-a-two-dimensional-array-at-runtime,191,21,17,529
C,Create-an-HTML-table,141,17,14,384
C,Cumulative-standard-deviation,319,49,42,979
C,Date-format,258,24,19,844
C,Day-of-the-week,174,25,18,462
C,Department-numbers,140,22,17,459
C,Detect-division-by-zero,720,101,58,2294
C,Determine-if-a-string-is-numeric,72,13,11,228
C,Digital-root,192,27,21,475
C,Dot-product,115,15,10,361
C,Empty-string,131,20,6,461
C,Entropy,294,47,41,919
C,Ethiopian-multiplication,236,33,27,676
C,Even-or-odd,38,5,4,90
C,Factorial,51,9,8,153
C,Factors-of-an-integer,708,89,67,1796
C,Fibonacci-sequence,65,10,9,179
C,Filter,314,44,31,874
C,Five-weekends,278,31,28,877
C,FizzBuzz,85,11,9,194
C,Function-composition,430,65,41,1592
C,Gray-code,192,25,20,488
C,Greatest-common-divisor,63,8,7,130
C,Guess-the-number,157,31,24,520
C,Guess-the-number-With-feedback,170,27,20,588
C,Hailstone-sequence,303,42,35,789
C,Happy-numbers,228,34,26,593
C,Harshad-or-Niven-series,136,23,18,385
C,Haversine-formula,222,27,21,577
C,Horners-rule-for-polynomial-evaluation,130,23,17,330
C,Identity-matrix,325,39,38,1201
C,Integer-comparison,100,19,13,257
C,JSON,975,121,107,3510
C,Knapsack-problem-0-1,776,79,74,2329
C,Knuth-shuffle,427,53,34,1375
C,Last-Friday-of-each-month,220,21,16,443
C,Leap-year,158,21,17,467
C,Least-common-multiple,99,20,16,276
C,Levenshtein-distance,379,46,24,1289
C,Logical-operations,54,7,6,139
C,Look-and-say-sequence,155,23,19,396
C,Loop-over-multiple-arrays-simultaneously,86,12,9,203
C,Loops-Break,76,15,14,192
C,Loops-Continue,45,9,8,128
C,Loops-Do-while,29,6,5,72
C,Loops-For,43,7,6,96
C,Loops-N-plus-one-half,57,12,10,146
C,Loops-Nested,175,26,22,496
C,Loops-While,29,6,5,62
C,Luhn-test-of-credit-card-numbers,217,33,26,570
C,Map-range,109,17,12,251
C,Middle-three-digits,432,57,49,1304
C,Monty-Hall-problem,281,32,19,948
C,Multiplication-tables,139,18,13,343
C,Mutual-recursion,190,31,23,559
C,N-queens-problem,664,87,66,2088
C,Nth,357,53,44,989
C,Nth-root,247,35,31,625
C,Number-names,1077,138,117,2761
C,Number-reversal-game,285,33,28,983
C,Ordered-words,443,84,61,1673
C,Palindrome-detection,86,11,10,264
C,Pangram-checker,234,42,33,695
C,Parsing-RPN-calculator-algorithm,398,63,53,1127
C,Pascals-triangle,126,23,19,328
C,Perfect-numbers,149,28,22,452
C,Pi,524,69,52,1337
C,Population-count,258,40,33,735
C,Power-set,164,32,27,426
C,Primality-by-trial-division,100,13,10,277
C,Priority-queue,275,45,33,1088
C,Range-expansion,527,79,57,1513
C,Range-extraction,365,37,31,842
C,Real-constants-and-functions,119,13,11,465
C,Reverse-a-string,488,68,59,1275
C,Roman-numerals-Decode,402,48,31,1430
C,Rot-13,337,52,45,1043
C,Run-length-encoding,1044,148,115,3209
C,Search-a-list,312,41,36,938
C,Set,432,46,36,1081
C,Short-circuit-evaluation,179,33,26,529
C,Sierpinski-carpet,598,82,70,2195
C,Sierpinski-triangle,104,19,15,246
C,Sieve-of-Eratosthenes,171,29,23,514
C,Sleep,52,13,11,183
C,Sort-using-a-custom-comparator,177,23,18,571
C,Sorting-algorithms-Bubble-sort,256,30,27,660
C,Sorting-algorithms-Gnome-sort,102,14,13,238
C,Sorting-algorithms-Insertion-sort,269,33,23,656
C,Sorting-algorithms-Quicksort,279,45,32,691
C,Sorting-algorithms-Selection-sort,244,28,25,615
C,Stack,630,67,56,2648
C,String-concatenation,137,26,20,400
C,String-matching,298,45,37,1113
C,Strip-whitespace-from-a-string-Top-and-tail,261,47,39,703
C,Substring,381,53,24,1541
C,Substring-Top-and-tail,204,26,19,587
C,Sum-and-product-of-an-array,948,86,61,3866
C,Sum-digits-of-an-integer,122,19,16,365
C,Sum-multiples-of-3-and-5,367,54,44,1115
C,Symmetric-difference,1096,136,112,3645
C,Take-notes-on-the-command-line,198,32,23,549
C,Temperature-conversion,193,30,25,598
C,The-Twelve-Days-of-Christmas,285,51,44,1007
C,Towers-of-Hanoi,399,61,48,1044
C,Vector-products,279,23,19,837
C#,100-doors,156,20,17,569
C#,100-prisoners,429,69,56,1963
C#,99-bottles-of-beer,217,22,21,787
C#,ABC-problem,478,83,72,1757
C#,Accumulator-factory,71,18,15,260
C#,Ackermann-function,794,128,115,3880
C#,Align-columns,657,75,65,2687
C#,Almost-prime,283,56,51,1296
C#,Anagrams,197,31,28,962
C#,Anonymous-recursion,83,9,7,259
C#,Anti-primes,146,23,19,572
C#,Arbitrary-precision-integers-included-,178,24,19,698
C#,Arithmetic-Complex,1279,206,166,4935
C#,Arithmetic-Integer,201,18,15,599
C#,Arithmetic-geometric-mean,449,31,25,1471
C#,Array-concatenation,110,23,19,427
C#,Arrays,25,2,1,82
C#,Averages-Arithmetic-mean,152,30,21,577
C#,Averages-Mode,220,39,25,1080
C#,Averages-Pythagorean-means,225,35,26,956
C#,Babbage-problem,327,36,26,1475
C#,Balanced-brackets,228,43,39,1051
C#,Binary-search,797,74,35,3088
C#,Bitwise-operations,197,15,11,906
C#,Bulls-and-cows,477,80,70,2235
C#,CSV-data-manipulation,115,22,20,533
C#,Caesar-cipher,222,41,33,1003
C#,Case-sensitivity-of-identifiers,72,13,11,279
C#,Catalan-numbers,745,115,91,3435
C#,Check-that-file-exists,40,7,5,200
C#,Classes,128,27,22,569
C#,Comma-quibbling,204,34,28,915
C#,Count-occurrences-of-a-substring,142,27,24,755
C#,Create-a-two-dimensional-array-at-runtime,91,15,12,376
C#,Create-an-HTML-table,209,48,42,1053
C#,Cumulative-standard-deviation,164,26,22,668
C#,Date-format,70,15,13,321
C#,Day-of-the-week,91,14,12,343
C#,Department-numbers,142,17,16,513
C#,Detect-division-by-zero,70,17,14,314
C#,Determine-if-a-string-is-numeric,58,12,9,231
C#,Digital-root,172,25,23,660
C#,Dot-product,145,26,20,431
C#,Empty-string,1041,114,41,4929
C#,Entropy,235,44,42,744
C#,Ethiopian-multiplication,706,63,52,2758
C#,Even-or-odd,343,67,58,1613
C#,Factorial,103,23,19,466
C#,Factors-of-an-integer,177,22,18,661
C#,Fibonacci-sequence,110,17,14,329
C#,Filter,75,5,4,226
C#,Five-weekends,290,38,33,1231
C#,FizzBuzz,132,30,29,657
C#,Function-composition,144,19,18,492
C#,Gray-code,188,24,19,634
C#,Greatest-common-divisor,372,24,20,906
C#,Guess-the-number,196,27,21,648
C#,Guess-the-number-With-feedback,213,40,35,1053
C#,Hailstone-sequence,319,45,42,1381
C#,Happy-numbers,229,50,46,1149
C#,Harshad-or-Niven-series,247,62,50,1303
C#,Haversine-formula,304,24,18,898
C#,Horners-rule-for-polynomial-evaluation,93,17,14,372
C#,Identity-matrix,179,36,33,908
C#,Integer-comparison,107,17,15,400
C#,JSON,160,24,19,739
C#,Knapsack-problem-0-1,546,52,46,1782
C#,Knuth-shuffle,85,10,9,322
C#,Last-Friday-of-each-month,223,39,35,1098
C#,Leap-year,80,15,13,338
C#,Least-common-multiple,99,17,16,309
C#,Levenshtein-distance,383,51,44,1362
C#,Logical-operations,102,17,15,404
C#,Look-and-say-sequence,236,41,36,1056
C#,Loop-over-multiple-arrays-simultaneously,52,6,4,158
C#,Loops-Break,79,19,17,363
C#,Loops-Continue,69,17,13,299
C#,Loops-Do-while,32,8,6,77
